branchCode,branchName
212724210,Computer Science and Engineering
212724610,Information Technology
212737210,Electronics and Telecommunication Engg
212761210,Mechanical Engineering
212919110,Civil Engineering
212924210,Computer Science and Engineering
212924610,Information Technology
212929810,Electrical Engg [Electrical and Power]
212937610,Electronics Engineering
212961210,Mechanical Engineering
213019110,Civil Engineering
213024210,Computer Science and Engineering
213037210,Electronics and Telecommunication Engg
213061210,Mechanical Engineering
213099510,Artificial Intelligence and Data Science
213119110,Civil Engineering
213124210,Computer Science and Engineering
213137210,Electronics and Telecommunication Engg
213161210,Mechanical Engineering
213319110,Civil Engineering
213324210,Computer Science and Engineering
213329310,Electrical Engineering
213361210,Mechanical Engineering
213384410,Electronics and Computer Engineering
213419110,Civil Engineering
213424210,Computer Science and Engineering
213429310,Electrical Engineering
213461510,Mechanical & Automation Engineering
213484410,Electronics and Computer Engineering
213491210,Computer Science and Engineering(Data Science)
213519110,Civil Engineering
213524210,Computer Science and Engineering
213561210,Mechanical Engineering
213591110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
213619110,Civil Engineering
213624210,Computer Science and Engineering
213624610,Information Technology
213629310,Electrical Engineering
213637210,Electronics and Telecommunication Engg
213661210,Mechanical Engineering
213691210,Computer Science and Engineering(Data Science)
213692110,Artificial Intelligence and Machine Learning
213719110,Civil Engineering
213724210,Computer Science and Engineering
213729710,Electrical and Electronics Engineering
213761210,Mechanical Engineering
213819110,Civil Engineering
213824210,Computer Science and Engineering
213829310,Electrical Engineering
213861210,Mechanical Engineering
214619110,Civil Engineering
225019110,Civil Engineering
225024210,Computer Science and Engineering
225029310,Electrical Engineering
225037210,Electronics and Telecommunication Engg
225061210,Mechanical Engineering
225219110,Civil Engineering
225224210,Computer Science and Engineering
225229710,Electrical and Electronics Engineering
225261210,Mechanical Engineering
225419110,Civil Engineering
225424510,Computer Engineering
225429310,Electrical Engineering
225437210,Electronics and Telecommunication Engg
225461210,Mechanical Engineering
250819110,Civil Engineering
250824510,Computer Engineering
250829310,Electrical Engineering
250850310,Food Technology
250891410,Safety and Fire Engineering
251619110,Civil Engineering
251624210,Computer Science and Engineering
251629710,Electrical and Electronics Engineering
251661210,Mechanical Engineering
252219110,Civil Engineering
252224510,Computer Engineering
252237210,Electronics and Telecommunication Engg
252261210,Mechanical Engineering
253319110,Civil Engineering
253324210,Computer Science and Engineering
253329310,Electrical Engineering
253361210,Mechanical Engineering
253384410,Electronics and Computer Engineering
253399510,Artificial Intelligence and Data Science
301219110,Civil Engineering
301224510,Computer Engineering
301224610,Information Technology
301229310,Electrical Engineering
301237210,Electronics and Telecommunication Engg
301237610,Electronics Engineering
301261210,Mechanical Engineering
301262610,Production Engineering[Sandwich]
301289610,Textile Technology
301419110,Civil Engineering
301429310,Electrical Engineering
301461210,Mechanical Engineering
303319110,Civil Engineering
303324510,Computer Engineering
303324610,Information Technology
303329310,Electrical Engineering
303337210,Electronics and Telecommunication Engg
303337810,Electronics Engineering ( VLSI Design and Technology)
303350710,Chemical Engineering
303352710,Petro Chemical Engineering
303361210,Mechanical Engineering
303650710,Chemical Engineering
303651110,Dyestuff Technology
303651210,"Oil,Oleochemicals and Surfactants Technology"
303651310,Pharmaceuticals Chemistry and Technology
303651410,Fibres and Textile Processing Technology
303651910,Polymer Engineering and Technology
303653410,Food Engineering and Technology
303672910,Surface Coating Technology
304229310,Electrical Engineering
304250410,Food Technology And Management
304262410,Mechatronics Engineering
304291810,Civil and infrastructure Engineering
304299510,Artificial Intelligence and Data Science
313524510,Computer Engineering
313524610,Information Technology
313537210,Electronics and Telecommunication Engg
313561210,Mechanical Engineering
313599510,Artificial Intelligence and Data Science
313924510,Computer Engineering
313924610,Information Technology
313937210,Electronics and Telecommunication Engg
313946110,Bio Medical Engineering
313990010,Electronics and Computer Science
314624510,Computer Engineering
314624610,Information Technology
314629310,Electrical Engineering
314637210,Electronics and Telecommunication Engg
314661210,Mechanical Engineering
314692010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
314699510,Artificial Intelligence and Data Science
314824510,Computer Engineering
314824610,Information Technology
314825210,Cyber Security
314837210,Electronics and Telecommunication Engg
314890010,Electronics and Computer Science
314899510,Artificial Intelligence and Data Science
315419110,Civil Engineering
315424510,Computer Engineering
315424610,Information Technology
315460210,Automobile Engineering
315461210,Mechanical Engineering
315491110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
315491210,Computer Science and Engineering(Data Science)
317519110,Civil Engineering
317524510,Computer Engineering
317524610,Information Technology
317529310,Electrical Engineering
317537210,Electronics and Telecommunication Engg
317546110,Bio Medical Engineering
317550710,Chemical Engineering
317561210,Mechanical Engineering
317619110,Civil Engineering
317624510,Computer Engineering
317624610,Information Technology
317625310,Internet of Things (IoT)
317625910,Mechanical and Mechatronics Engineering (Additive Manufacturing)
317637210,Electronics and Telecommunication Engg
317661210,Mechanical Engineering
317690010,Electronics and Computer Science
317691010,Computer Science and Engineering(Cyber Security)
317692110,Artificial Intelligence and Machine Learning
317699510,Artificial Intelligence and Data Science
318224510,Computer Engineering
318224610,Information Technology
318237210,Electronics and Telecommunication Engg
318250710,Chemical Engineering
318299510,Artificial Intelligence and Data Science
318319110,Civil Engineering
318324510,Computer Engineering
318324610,Information Technology
318337210,Electronics and Telecommunication Engg
318361210,Mechanical Engineering
318391110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
318392010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
318424510,Computer Engineering
318461210,Mechanical Engineering
318490010,Electronics and Computer Science
318499510,Artificial Intelligence and Data Science
318524510,Computer Engineering
318524610,Information Technology
318526110,Electronics and Computer Science
318537210,Electronics and Telecommunication Engg
318591610,Automation and Robotics
318599510,Artificial Intelligence and Data Science
318719110,Civil Engineering
318724510,Computer Engineering
318724610,Information Technology
318737210,Electronics and Telecommunication Engg
318750710,Chemical Engineering
318761210,Mechanical Engineering
318791810,Civil and infrastructure Engineering
318799510,Artificial Intelligence and Data Science
318824510,Computer Engineering
318824610,Information Technology
318826310,Artificial Intelligence (AI) and Data Science
318924510,Computer Engineering
318924610,Information Technology
318937210,Electronics and Telecommunication Engg
318946610,Instrumentation Engineering
318950710,Chemical Engineering
318961210,Mechanical Engineering
319019110,Civil Engineering
319024510,Computer Engineering
319024610,Information Technology
319026310,Artificial Intelligence (AI) and Data Science
319037210,Electronics and Telecommunication Engg
319037610,Electronics Engineering
319061210,Mechanical Engineering
319062410,Mechatronics Engineering
319224510,Computer Engineering
319229310,Electrical Engineering
319261210,Mechanical Engineering
319291110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
319292010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
319324510,Computer Engineering
319324610,Information Technology
319337210,Electronics and Telecommunication Engg
319350710,Chemical Engineering
319361210,Mechanical Engineering
319392110,Artificial Intelligence and Machine Learning
319419110,Civil Engineering
319424510,Computer Engineering
319424610,Information Technology
319437210,Electronics and Telecommunication Engg
319461210,Mechanical Engineering
319491210,Computer Science and Engineering(Data Science)
319499510,Artificial Intelligence and Data Science
319624510,Computer Engineering
319629310,Electrical Engineering
319637210,Electronics and Telecommunication Engg
319661210,Mechanical Engineering
319691110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
319691210,Computer Science and Engineering(Data Science)
319692010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
319724510,Computer Engineering
319724610,Information Technology
319729310,Electrical Engineering
319737210,Electronics and Telecommunication Engg
319761210,Mechanical Engineering
319824210,Computer Science and Engineering
319824510,Computer Engineering
319824610,Information Technology
319861210,Mechanical Engineering
319899510,Artificial Intelligence and Data Science
319924510,Computer Engineering
319924610,Information Technology
319926310,Artificial Intelligence (AI) and Data Science
319937210,Electronics and Telecommunication Engg
319961210,Mechanical Engineering
319991210,Computer Science and Engineering(Data Science)
319992010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
319992110,Artificial Intelligence and Machine Learning
320024610,Information Technology
320029310,Electrical Engineering
320037210,Electronics and Telecommunication Engg
320050710,Chemical Engineering
320061210,Mechanical Engineering
320091110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
320119110,Civil Engineering
320124510,Computer Engineering
320161210,Mechanical Engineering
320190010,Electronics and Computer Science
320199510,Artificial Intelligence and Data Science
320224510,Computer Engineering
320260210,Automobile Engineering
320261210,Mechanical Engineering
320324510,Computer Engineering
320324610,Information Technology
320329310,Electrical Engineering
320337210,Electronics and Telecommunication Engg
320390010,Electronics and Computer Science
320424510,Computer Engineering
320424610,Information Technology
320429310,Electrical Engineering
320437210,Electronics and Telecommunication Engg
320461210,Mechanical Engineering
320624510,Computer Engineering
320629310,Electrical Engineering
320661210,Mechanical Engineering
320662410,Mechatronics Engineering
320691110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
320724510,Computer Engineering
320724610,Information Technology
320737210,Electronics and Telecommunication Engg
320760210,Automobile Engineering
320761210,Mechanical Engineering
320790010,Electronics and Computer Science
320824510,Computer Engineering
320824610,Information Technology
320837210,Electronics and Telecommunication Engg
320861210,Mechanical Engineering
320924510,Computer Engineering
320924610,Information Technology
320937210,Electronics and Telecommunication Engg
320999510,Artificial Intelligence and Data Science
321024510,Computer Engineering
321024610,Information Technology
321037210,Electronics and Telecommunication Engg
321124510,Computer Engineering
321124610,Information Technology
321137210,Electronics and Telecommunication Engg
321161210,Mechanical Engineering
321190010,Electronics and Computer Science
321192010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
321192110,Artificial Intelligence and Machine Learning
321199510,Artificial Intelligence and Data Science
321224510,Computer Engineering
321424510,Computer Engineering
321424610,Information Technology
321437210,Electronics and Telecommunication Engg
321492010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
321524510,Computer Engineering
321537210,Electronics and Telecommunication Engg
321591110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
321591210,Computer Science and Engineering(Data Science)
321619110,Civil Engineering
321624510,Computer Engineering
321637210,Electronics and Telecommunication Engg
321650710,Chemical Engineering
321661210,Mechanical Engineering
321691110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
321719110,Civil Engineering
321724510,Computer Engineering
321737210,Electronics and Telecommunication Engg
321761210,Mechanical Engineering
321791610,Automation and Robotics
321819110,Civil Engineering
321824510,Computer Engineering
321824610,Information Technology
321837210,Electronics and Telecommunication Engg
321861210,Mechanical Engineering
321890010,Electronics and Computer Science
321891210,Computer Science and Engineering(Data Science)
321892110,Artificial Intelligence and Machine Learning
321919110,Civil Engineering
321924510,Computer Engineering
321924610,Information Technology
321929310,Electrical Engineering
321937210,Electronics and Telecommunication Engg
321961210,Mechanical Engineering
321991110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
322119110,Civil Engineering
322124510,Computer Engineering
322129310,Electrical Engineering
322137210,Electronics and Telecommunication Engg
322161210,Mechanical Engineering
322191110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
322224510,Computer Engineering
322224610,Information Technology
322229310,Electrical Engineering
322260210,Automobile Engineering
322261210,Mechanical Engineering
322291110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
322319110,Civil Engineering
322324510,Computer Engineering
322324610,Information Technology
322329310,Electrical Engineering
322361210,Mechanical Engineering
322390010,Electronics and Computer Science
322419110,Civil Engineering
322424510,Computer Engineering
322461210,Mechanical Engineering
322491110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
322492010,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
335119110,Civil Engineering
335124510,Computer Engineering
335161210,Mechanical Engineering
335191110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
335319110,Civil Engineering
335324510,Computer Engineering
335329310,Electrical Engineering
335392110,Artificial Intelligence and Machine Learning
342319110,Civil Engineering
342324510,Computer Engineering
342324610,Information Technology
342337210,Electronics and Telecommunication Engg
342361210,Mechanical Engineering
342390010,Electronics and Computer Science
343624510,Computer Engineering
343919110,Civil Engineering
343924510,Computer Engineering
343929310,Electrical Engineering
343961210,Mechanical Engineering
343990010,Electronics and Computer Science
344019110,Civil Engineering
344024510,Computer Engineering
344037210,Electronics and Telecommunication Engg
344061210,Mechanical Engineering
344519110,Civil Engineering
344524510,Computer Engineering
344537210,Electronics and Telecommunication Engg
344561210,Mechanical Engineering
344719110,Civil Engineering
344724510,Computer Engineering
344761210,Mechanical Engineering
346019110,Civil Engineering
346024510,Computer Engineering
346024610,Information Technology
346092110,Artificial Intelligence and Machine Learning
346092410,Data Engineering
346219110,Civil Engineering
346229310,Electrical Engineering
346237210,Electronics and Telecommunication Engg
346261210,Mechanical Engineering
346524510,Computer Engineering
346529310,Electrical Engineering
346537210,Electronics and Telecommunication Engg
346561210,Mechanical Engineering
346719110,Civil Engineering
346724510,Computer Engineering
346729310,Electrical Engineering
346737210,Electronics and Telecommunication Engg
346761210,Mechanical Engineering
346791110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
347119110,Civil Engineering
347124510,Computer Engineering
347125710,Computer Science and Design
347161210,Mechanical Engineering
347162410,Mechatronics Engineering
347199510,Artificial Intelligence and Data Science
347519110,Civil Engineering
347524510,Computer Engineering
347524610,Information Technology
347561210,Mechanical Engineering
347591110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
347591210,Computer Science and Engineering(Data Science)
347719110,Civil Engineering
347724510,Computer Engineering
347761210,Mechanical Engineering
350319110,Civil Engineering
350324510,Computer Engineering
350324610,Information Technology
350329310,Electrical Engineering
350361210,Mechanical Engineering
400419110,Civil Engineering
400424210,Computer Science and Engineering
400429310,Electrical Engineering
400437210,Electronics and Telecommunication Engg
400446610,Instrumentation Engineering
400461210,Mechanical Engineering
400550310,Food Technology
400550710,Chemical Engineering
400551010,Plastic and Polymer Technology
400552410,Paper and Pulp Technology
400552810,Petro Chemical Technology
400552910,Oil Technology
400572910,Surface Coating Technology
402519110,Civil Engineering
402524210,Computer Science and Engineering
402529310,Electrical Engineering
402537210,Electronics and Telecommunication Engg
402561210,Mechanical Engineering
410419110,Civil Engineering
410424610,Information Technology
410425110,Computer Technology
410429310,Electrical Engineering
410437010,Electronics and Communication Engineering
410461210,Mechanical Engineering
411519110,Civil Engineering
411524210,Computer Science and Engineering
411524610,Information Technology
411529310,Electrical Engineering
411537010,Electronics and Communication Engineering
411546110,Bio Medical Engineering
411561210,Mechanical Engineering
411590010,Electronics and Computer Science
411591010,Computer Science and Engineering(Cyber Security)
411591110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
411591210,Computer Science and Engineering(Data Science)
411619110,Civil Engineering
411624210,Computer Science and Engineering
411624610,Information Technology
411626010,Computer Science and Engineering (Cyber Security)
411626710,Computer Science and Engineering (IoT)
411629310,Electrical Engineering
411637210,Electronics and Telecommunication Engg
411637610,Electronics Engineering
411661210,Mechanical Engineering
411691110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
411691310,Computer Science and Engineering (Artificial Intelligence)
411691710,Data Science
411699710,Artificial Intelligence
411819110,Civil Engineering
411824510,Computer Engineering
411829310,Electrical Engineering
411837210,Electronics and Telecommunication Engg
411861210,Mechanical Engineering
412300210,Aeronautical Engineering
412308210,Bio Technology
412319110,Civil Engineering
412324210,Computer Science and Engineering
412324610,Information Technology
412325110,Computer Technology
412326510,Industrial IoT
412326610,Robotics and Artificial Intelligence
412329310,Electrical Engineering
412335610,Electrical Engg[Electronics and Power]
412337010,Electronics and Communication Engineering
412337210,Electronics and Telecommunication Engg
412350710,Chemical Engineering
412361210,Mechanical Engineering
412399510,Artificial Intelligence and Data Science
413319110,Civil Engineering
413324510,Computer Engineering
413329310,Electrical Engineering
413337210,Electronics and Telecommunication Engg
413361210,Mechanical Engineering
413424210,Computer Science and Engineering
413429310,Electrical Engineering
413437210,Electronics and Telecommunication Engg
413519110,Civil Engineering
413524210,Computer Science and Engineering
413524610,Information Technology
413529310,Electrical Engineering
413537210,Electronics and Telecommunication Engg
413561210,Mechanical Engineering
413619110,Civil Engineering
413624210,Computer Science and Engineering
413629310,Electrical Engineering
413637210,Electronics and Telecommunication Engg
413699710,Artificial Intelligence
413724210,Computer Science and Engineering
413726310,Artificial Intelligence (AI) and Data Science
413729310,Electrical Engineering
413737210,Electronics and Telecommunication Engg
413761210,Mechanical Engineering
413792110,Artificial Intelligence and Machine Learning
413819110,Civil Engineering
413824210,Computer Science and Engineering
413824610,Information Technology
413829310,Electrical Engineering
413837210,Electronics and Telecommunication Engg
413861210,Mechanical Engineering
413891210,Computer Science and Engineering(Data Science)
413899710,Artificial Intelligence
413924210,Computer Science and Engineering
413929310,Electrical Engineering
413937210,Electronics and Telecommunication Engg
413961210,Mechanical Engineering
413991110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
414124510,Computer Engineering
414161210,Mechanical Engineering
414199510,Artificial Intelligence and Data Science
414219110,Civil Engineering
414224210,Computer Science and Engineering
414224610,Information Technology
414229310,Electrical Engineering
414237210,Electronics and Telecommunication Engg
414261210,Mechanical Engineering
414291010,Computer Science and Engineering(Cyber Security)
414291710,Data Science
414299710,Artificial Intelligence
414319110,Civil Engineering
414324510,Computer Engineering
414329310,Electrical Engineering
414337210,Electronics and Telecommunication Engg
414419110,Civil Engineering
414424210,Computer Science and Engineering
414424610,Information Technology
414429310,Electrical Engineering
414461210,Mechanical Engineering
414519110,Civil Engineering
414524210,Computer Science and Engineering
414529310,Electrical Engineering
414537210,Electronics and Telecommunication Engg
414561210,Mechanical Engineering
414599510,Artificial Intelligence and Data Science
414719110,Civil Engineering
414724210,Computer Science and Engineering
414724610,Information Technology
414729310,Electrical Engineering
414737210,Electronics and Telecommunication Engg
414761210,Mechanical Engineering
414799510,Artificial Intelligence and Data Science
415100210,Aeronautical Engineering
415108210,Bio Technology
415119110,Civil Engineering
415124210,Computer Science and Engineering
415124610,Information Technology
415129310,Electrical Engineering
415137010,Electronics and Communication Engineering
415161210,Mechanical Engineering
415191210,Computer Science and Engineering(Data Science)
416319110,Civil Engineering
416324210,Computer Science and Engineering
416329310,Electrical Engineering
416337010,Electronics and Communication Engineering
416361210,Mechanical Engineering
416370110,Mining Engineering
416719110,Civil Engineering
416724210,Computer Science and Engineering
416724610,Information Technology
416725110,Computer Technology
416725710,Computer Science and Design
416726710,Computer Science and Engineering (IoT)
416735610,Electrical Engg[Electronics and Power]
416737210,Electronics and Telecommunication Engg
416737610,Electronics Engineering
416761210,Mechanical Engineering
416791110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
416799510,Artificial Intelligence and Data Science
417219110,Civil Engineering
417224210,Computer Science and Engineering
417226310,Artificial Intelligence (AI) and Data Science
417229310,Electrical Engineering
417237210,Electronics and Telecommunication Engg
417261210,Mechanical Engineering
417419110,Civil Engineering
417424510,Computer Engineering
417424610,Information Technology
417426010,Computer Science and Engineering (Cyber Security)
417426210,Computer Science and Business Systems
417426510,Industrial IoT
417429310,Electrical Engineering
417437210,Electronics and Telecommunication Engg
417461210,Mechanical Engineering
417491210,Computer Science and Engineering(Data Science)
417499710,Artificial Intelligence
417519110,Civil Engineering
417524210,Computer Science and Engineering
417537210,Electronics and Telecommunication Engg
417561210,Mechanical Engineering
417719110,Civil Engineering
417724210,Computer Science and Engineering
417724610,Information Technology
417737010,Electronics and Communication Engineering
417761210,Mechanical Engineering
418119110,Civil Engineering
418124510,Computer Engineering
418137210,Electronics and Telecommunication Engg
418161210,Mechanical Engineering
418819110,Civil Engineering
418824210,Computer Science and Engineering
418829310,Electrical Engineering
418837210,Electronics and Telecommunication Engg
418850310,Food Technology
418861210,Mechanical Engineering
418870110,Mining Engineering
419019110,Civil Engineering
419024210,Computer Science and Engineering
419029310,Electrical Engineering
419037010,Electronics and Communication Engineering
419061210,Mechanical Engineering
419219110,Civil Engineering
419224210,Computer Science and Engineering
419235610,Electrical Engg[Electronics and Power]
419261210,Mechanical Engineering
419291110,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
419324210,Computer Science and Engineering
419329310,Electrical Engineering
419337010,Electronics and Communication Engineering
419361210,Mechanical Engineering
419619110,Civil Engineering
419624210,Computer Science and Engineering
419661210,Mechanical Engineering
419724210,Computer Science and Engineering
419729310,Electrical Engineering
419737010,Electronics and Communication Engineering
419761210,Mechanical Engineering
428519110,Civil Engineering
428524610,Information Technology
428529310,Electrical Engineering
428561210,Mechanical Engineering
430219110,Civil Engineering
430224510,Computer Engineering
430261210,Mechanical Engineering
461319110,Civil Engineering
461324510,Computer Engineering
461329310,Electrical Engineering
461337210,Electronics and Telecommunication Engg
461361210,Mechanical Engineering
464819110,Civil Engineering
464824210,Computer Science and Engineering
464824610,Information Technology
464829310,Electrical Engineering
464861210,Mechanical Engineering
464919110,Civil Engineering
464924510,Computer Engineering
464929310,Electrical Engineering
464961210,Mechanical Engineering
500350310,Food Technology
500350710,Chemical Engineering
500350810,Plastic Technology
500351810,Oil Fats and Waxes Technology
500352310,Paints Technology
500419110,Civil Engineering
500424510,Computer Engineering
500429310,Electrical Engineering
500437210,Electronics and Telecommunication Engg
500446610,Instrumentation Engineering
500461210,Mechanical Engineering
510319110,Civil Engineering
510324510,Computer Engineering
510337210,Electronics and Telecommunication Engg
510337610,Electronics Engineering
510361210,Mechanical Engineering
510419110,Civil Engineering
510424510,Computer Engineering
510429310,Electrical Engineering
510437210,Electronics and Telecommunication Engg
510450710,Chemical Engineering
510461210,Mechanical Engineering
510624510,Computer Engineering
510629310,Electrical Engineering
510661210,Mechanical Engineering
510684410,Electronics and Computer Engineering
510819110,Civil Engineering
510824510,Computer Engineering
510824610,Information Technology
510837210,Electronics and Telecommunication Engg
510846410,Instrumentation and Control Engineering
510861210,Mechanical Engineering
510919110,Civil Engineering
510924510,Computer Engineering
510924610,Information Technology
510929310,Electrical Engineering
510937210,Electronics and Telecommunication Engg
510961210,Mechanical Engineering
510991610,Automation and Robotics
510999510,Artificial Intelligence and Data Science
512119110,Civil Engineering
512124510,Computer Engineering
512124610,Information Technology
512125710,Computer Science and Design
512129310,Electrical Engineering
512137210,Electronics and Telecommunication Engg
512150710,Chemical Engineering
512161210,Mechanical Engineering
512191910,Robotics and Automation
512199510,Artificial Intelligence and Data Science
512419110,Civil Engineering
512424510,Computer Engineering
512424610,Information Technology
512429310,Electrical Engineering
512461210,Mechanical Engineering
512524510,Computer Engineering
512524610,Information Technology
512550710,Chemical Engineering
513019110,Civil Engineering
513024510,Computer Engineering
513029310,Electrical Engineering
513061210,Mechanical Engineering
513919110,Civil Engineering
513924510,Computer Engineering
513924610,Information Technology
513937210,Electronics and Telecommunication Engg
513946410,Instrumentation and Control Engineering
513950710,Chemical Engineering
513961210,Mechanical Engineering
513984410,Electronics and Computer Engineering
513991610,Automation and Robotics
515119110,Civil Engineering
515124510,Computer Engineering
515124610,Information Technology
515129310,Electrical Engineering
515137210,Electronics and Telecommunication Engg
515161210,Mechanical Engineering
